"","X.1","Category","Code","Occupation","Sectors","X2016.National.Employment.Matrix","OCC.Group","Occ.Type","X2016.Current","X2026.Projected","Employment.Percent","X","Change.Number","Change.Percent","Occupational.Openings.2016.26.Annual.Average","OCC.Type","OCC_CODE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"249",249,"Green Increased Demand","29-9011.00","Occupational Health and Safety Specialists","Manufacturing",NA,NA,NA,"83.7","90.5",0.1,0.1,6.8,8.1,5,NA,"29-9011","detailed","88,390",1,36.03,"74,940",0.3,20.41,26.95,35.11,43.76,"52.17","42,450","56,060",117,"91,030","108,520",NA,NA
"250",250,"Green Increased Demand","47-2073.00","Operating Engineers and Other Construction Equipment Operators","Green Construction",NA,NA,NA,"371.1","416.9",0.2,0.2,45.8,12.3,47.3,NA,"47-2073","detailed","383,480",0.8,25.5,"53,030",0.3,15.06,17.9,22.98,30.55,"40.46","31,320","37,230",63,"63,540","84,160",NA,NA
"251",251,"Green Increased Demand","51-8012.00","Power Distributors and Dispatchers","Renewable Energy Generation",NA,NA,NA,"54.7","54.2",0,0,-0.6,-1,4.6,NA,"51-8012","detailed","11,620",3.7,41.03,"85,340",0.7,26.28,33.39,41.54,48.46,"56.66","54,670","69,440",129,"100,810","117,860",NA,NA
"252",252,"Green Increased Demand","43-5061.00","Production, Planning, and Expediting Clerks","Manufacturing",NA,NA,NA,"329.4","347.4",0.2,0.2,18,5.5,35.5,NA,"43-5060","broad","350,150",0.8,24.05,"50,020",0.2,14.23,17.66,22.88,29.33,"36.11","29,610","36,740",61,"61,010","75,110",NA,NA
"253",253,"Green Increased Demand","43-5061.00","Production, Planning, and Expediting Clerks","Manufacturing",NA,NA,NA,"329.4","347.4",0.2,0.2,18,5.5,35.5,NA,"43-5061","detailed","350,150",0.8,24.05,"50,020",0.2,14.23,17.66,22.88,29.33,"36.11","29,610","36,740",61,"61,010","75,110",NA,NA
"254",254,"Green Increased Demand","47-4061.00","Rail-Track Laying and Maintenance Equipment Operators","Transportation",NA,NA,NA,"14","15.2",0,0,1.2,8.6,1.5,NA,"47-4060","broad","14,410",4.9,27.46,"57,120",3.7,16.33,21.26,27.37,33.39,"38.41","33,970","44,210",85,"69,460","79,900",NA,NA
"255",255,"Green Increased Demand","47-4061.00","Rail-Track Laying and Maintenance Equipment Operators","Transportation",NA,NA,NA,"14","15.2",0,0,1.2,8.6,1.5,NA,"47-4061","detailed","14,410",4.9,27.46,"57,120",3.7,16.33,21.26,27.37,33.39,"38.41","33,970","44,210",85,"69,460","79,900",NA,NA
"256",256,"Green Increased Demand","53-4031.00","Railroad Conductors and Yardmasters","Transportation",NA,NA,NA,"41.8","41",0,0,-0.9,-2.1,3.7,NA,"53-4030","broad","42,360",5.1,31.77,"66,080",1.5,21.49,25.72,30.26,37.81,"45.83","44,690","53,490",101,"78,640","95,330",NA,NA
"257",257,"Green Increased Demand","53-4031.00","Railroad Conductors and Yardmasters","Transportation",NA,NA,NA,"41.8","41",0,0,-0.9,-2.1,3.7,NA,"53-4031","detailed","42,360",5.1,31.77,"66,080",1.5,21.49,25.72,30.26,37.81,"45.83","44,690","53,490",101,"78,640","95,330",NA,NA
"258",258,"Green Increased Demand","49-9021.02","Refrigeration Mechanics and Installers","Green Construction",NA,NA,NA,"332.9","381.7",0.2,0.2,48.8,14.7,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,NA,NA,NA,NA,62,NA,NA,NA,NA
"259",259,"Green Increased Demand","49-9021.02","Refrigeration Mechanics and Installers","Energy Efficiency",NA,NA,NA,"332.9","381.7",0.2,0.2,48.8,14.7,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,NA,NA,NA,NA,62,NA,NA,NA,NA
"260",260,"Green Increased Demand","47-2031.02","Rough Carpenters","Green Construction",NA,NA,NA,"1206","1310.4",NA,NA,NA,1.086567164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,58,NA,NA,NA,NA
"261",261,"Green Increased Demand","15-1133.00","Software Developers, Systems Software","Research, Design, and Consulting Services","Software developers, systems software","15-1133","Line item","425","472.1",0.3,0.3,47.1,11.1,32.9,"Line item","15-1133","detailed","405,330",1.3,54.81,"114,000",0.5,32.09,41.16,52.89,67.09,"80.27","66,740","85,610",11,"139,550","166,960",NA,NA
"262",262,"Green Increased Demand","51-4121.07","Solderers and Brazers","Green Construction",NA,NA,NA,"404.8","427.3",0.3,0.3,22.5,5.6,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89,NA,NA,NA,NA,47,NA,NA,NA,NA
"263",263,"Green Increased Demand","51-4121.07","Solderers and Brazers","Manufacturing",NA,NA,NA,"404.8","427.3",0.3,0.3,22.5,5.6,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89,NA,NA,NA,NA,47,NA,NA,NA,NA
"264",264,"Green Increased Demand","51-8021.00","Stationary Engineers and Boiler Operators","Energy Efficiency",NA,NA,NA,"35.7","37.5",0,0,1.7,4.8,3.9,NA,"51-8020","broad","31,710",2,30.62,"63,690",1,17.57,22.97,29.06,36.8,"46.47","36,550","47,780",93,"76,550","96,660",NA,NA
"265",265,"Green Increased Demand","51-8021.00","Stationary Engineers and Boiler Operators","Energy Efficiency",NA,NA,NA,"35.7","37.5",0,0,1.7,4.8,3.9,NA,"51-8021","detailed","31,710",2,30.62,"63,690",1,17.57,22.97,29.06,36.8,"46.47","36,550","47,780",93,"76,550","96,660",NA,NA
"266",266,"Green Increased Demand","47-2221.00","Structural Iron and Steel Workers","Green Construction",NA,NA,NA,"70.2","79.2",0,0,9,12.8,8.7,NA,"47-2220","broad","77,410",2.8,27.97,"58,170",1,15.5,18.94,25.95,35.63,"45.08","32,240","39,390",75,"74,120","93,760",NA,NA
"267",267,"Green Increased Demand","47-2221.00","Structural Iron and Steel Workers","Green Construction",NA,NA,NA,"70.2","79.2",0,0,9,12.8,8.7,NA,"47-2221","detailed","77,410",2.8,27.97,"58,170",1,15.5,18.94,25.95,35.63,"45.08","32,240","39,390",75,"74,120","93,760",NA,NA
"268",268,"Green Increased Demand","47-2221.00","Structural Iron and Steel Workers","Manufacturing",NA,NA,NA,"70.2","79.2",0,0,9,12.8,8.7,NA,"47-2220","broad","77,410",2.8,27.97,"58,170",1,15.5,18.94,25.95,35.63,"45.08","32,240","39,390",75,"74,120","93,760",NA,NA
"269",269,"Green Increased Demand","47-2221.00","Structural Iron and Steel Workers","Manufacturing",NA,NA,NA,"70.2","79.2",0,0,9,12.8,8.7,NA,"47-2221","detailed","77,410",2.8,27.97,"58,170",1,15.5,18.94,25.95,35.63,"45.08","32,240","39,390",75,"74,120","93,760",NA,NA
"270",270,"Green Increased Demand","51-2041.00","Structural Metal Fabricators and Fitters","Manufacturing",NA,NA,NA,"77","65.2",0,0,-11.8,-15.3,6.5,NA,"51-2040","broad","76,090",2,20.02,"41,640",0.9,12.76,15.46,18.89,23.5,"28.92","26,530","32,160",38,"48,870","60,150",NA,NA
"271",271,"Green Increased Demand","51-2041.00","Structural Metal Fabricators and Fitters","Manufacturing",NA,NA,NA,"77","65.2",0,0,-11.8,-15.3,6.5,NA,"51-2041","detailed","76,090",2,20.02,"41,640",0.9,12.76,15.46,18.89,23.5,"28.92","26,530","32,160",38,"48,870","60,150",NA,NA
"272",272,"Green Increased Demand","51-2041.00","Structural Metal Fabricators and Fitters","Green Construction",NA,NA,NA,"77","65.2",0,0,-11.8,-15.3,6.5,NA,"51-2040","broad","76,090",2,20.02,"41,640",0.9,12.76,15.46,18.89,23.5,"28.92","26,530","32,160",38,"48,870","60,150",NA,NA
"273",273,"Green Increased Demand","51-2041.00","Structural Metal Fabricators and Fitters","Green Construction",NA,NA,NA,"77","65.2",0,0,-11.8,-15.3,6.5,NA,"51-2041","detailed","76,090",2,20.02,"41,640",0.9,12.76,15.46,18.89,23.5,"28.92","26,530","32,160",38,"48,870","60,150",NA,NA
"274",274,"Green Increased Demand","51-2092.00","Team Assemblers","Manufacturing","Team assemblers","51-2092","Line item","1,130.90","985.9",0.7,0.6,-145,-12.8,107.4,"Line item",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.19,NA,NA,NA,NA,23,NA,NA,NA,NA
"275",275,"Green Increased Demand","51-4121.06","Welders, Cutters, and Welder Fitters","Green Construction",NA,NA,NA,"404.8","427.3",0.3,0.3,22.5,5.6,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89,NA,NA,NA,NA,47,NA,NA,NA,NA
"276",276,"Green Increased Demand","51-4121.06","Welders, Cutters, and Welder Fitters","Manufacturing",NA,NA,NA,"404.8","427.3",0.3,0.3,22.5,5.6,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89,NA,NA,NA,NA,47,NA,NA,NA,NA
"277",277,"Green Increased Demand","19-1023.00","Zoologists and Wildlife Biologists","Environment Protection",NA,NA,NA,"19.4","20.9",0,0,1.5,7.6,1.9,NA,"19-1023","detailed","17,860",2.3,32.58,"67,760",0.6,19.37,24.26,30.49,38.01,"49.44","40,290","50,460",103,"79,070","102,830",NA,NA
"278",278,"Green New & Emerging","17-3027.01","Automotive Engineering Technicians","Transportation",NA,NA,NA,"930","990.8",0.6,0.6,60.8,6.5,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.04,NA,NA,NA,NA,84,NA,NA,NA,NA
"279",279,"Green New & Emerging","17-2141.02","Automotive Engineers","Research, Design, and Consulting Services",NA,NA,NA,"289","310.2",NA,NA,21.2,0.05,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,132,NA,NA,NA,NA
"280",280,"Green New & Emerging","17-2141.02","Automotive Engineers","Transportation",NA,NA,NA,"289","310.2",NA,NA,21.2,0.05,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,132,NA,NA,NA,NA
"281",281,"Green New & Emerging","17-2199.01","Biochemical Engineers","Manufacturing",NA,NA,NA,"133","142.5",NA,0.1,8.5,6.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"282",282,"Green New & Emerging","17-2199.01","Biochemical Engineers","Research, Design, and Consulting Services",NA,NA,NA,"133","142.5",NA,0.1,8.5,6.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"283",283,"Green New & Emerging","51-8099.01","Biofuels Processing Technicians","Renewable Energy Generation",NA,NA,NA,"12","13.2",NA,NA,1.2,1.1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,NA,NA,NA,NA,86,NA,NA,NA,NA
"284",284,"Green New & Emerging","11-3051.03","Biofuels Production Managers","Renewable Energy Generation",NA,NA,NA,"171","182.6",NA,NA,11.6,1.067836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,5,NA,NA,NA,NA
"285",285,"Green New & Emerging","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers","Renewable Energy Generation",NA,NA,NA,"180","193.6",NA,NA,13.6,1.075555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.67,NA,NA,NA,NA,16,NA,NA,NA,NA
"286",286,"Green New & Emerging","51-8099.03","Biomass Plant Technicians","Renewable Energy Generation",NA,NA,NA,"12","13.2",NA,NA,1.2,1.1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,NA,NA,NA,NA,86,NA,NA,NA,NA
"287",287,"Green New & Emerging","11-3051.04","Biomass Power Plant Managers","Renewable Energy Generation",NA,NA,NA,"171","182.6",NA,NA,11.6,1.067836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,5,NA,NA,NA,NA
"288",288,"Green New & Emerging","11-9199.11","Brownfield Redevelopment Specialists and Site Managers","Environment Protection",NA,NA,NA,"992","1071.2",NA,NA,79.2,1.07983871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,9,NA,NA,NA,NA
"289",289,"Green New & Emerging","11-1011.03","Chief Sustainability Officers","Governmental and Regulatory Administration",NA,NA,NA,"309","329",NA,NA,20,1.064724919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.15,NA,NA,NA,NA,17,NA,NA,NA,NA
"290",290,"Green New & Emerging","19-2041.01","Climate Change Analysts","Environment Protection",NA,NA,NA,"90","99.5",NA,NA,9.5,1.105555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,116,NA,NA,NA,NA
"291",291,"Green New & Emerging","11-9199.02","Compliance Managers","Governmental and Regulatory Administration",NA,NA,NA,"992","1071.2",NA,NA,79.2,1.07983871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.67,NA,NA,NA,NA,9,NA,NA,NA,NA
"292",292,"Green New & Emerging","17-3029.02","Electrical Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"293",293,"Green New & Emerging","17-3029.02","Electrical Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"294",294,"Green New & Emerging","17-3029.03","Electromechanical Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"295",295,"Green New & Emerging","17-3029.03","Electromechanical Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"296",296,"Green New & Emerging","17-3029.04","Electronics Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"297",297,"Green New & Emerging","17-3029.04","Electronics Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"298",298,"Green New & Emerging","13-1199.01","Energy Auditors","Energy Efficiency",NA,NA,NA,"1024","1128.2",NA,NA,104.2,1.101757813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.91,NA,NA,NA,NA,114,NA,NA,NA,NA
"299",299,"Green New & Emerging","13-1199.01","Energy Auditors","Governmental and Regulatory Administration",NA,NA,NA,"1024","1128.2",NA,NA,104.2,1.101757813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.91,NA,NA,NA,NA,114,NA,NA,NA,NA
"300",300,"Green New & Emerging","41-3099.01","Energy Brokers","Energy Trading",NA,NA,NA,"983","1114",NA,NA,131,1.133265514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.23,NA,NA,NA,NA,78,NA,NA,NA,NA
"301",301,"Green New & Emerging","17-2199.03","Energy Engineers","Energy Efficiency",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"302",302,"Green New & Emerging","17-2199.03","Energy Engineers","Green Construction",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"303",303,"Green New & Emerging","17-2199.03","Energy Engineers","Research, Design, and Consulting Services",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"304",304,"Green New & Emerging","19-3011.01","Environmental Economists","Environment Protection",NA,NA,NA,"21","22.6",NA,NA,1.6,1.076190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.16,NA,NA,NA,NA,6,NA,NA,NA,NA
"305",305,"Green New & Emerging","19-2041.02","Environmental Restoration Planners","Environment Protection",NA,NA,NA,"90","99.5",NA,NA,9.5,1.105555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,116,NA,NA,NA,NA
"306",306,"Green New & Emerging","13-2099.01","Financial Quantitative Analysts","Research, Design, and Consulting Services",NA,NA,NA,"136","149.1",NA,NA,13.1,1.096323529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79,NA,NA,NA,NA,113,NA,NA,NA,NA
"307",307,"Green New & Emerging","43-5011.01","Freight Forwarders","Transportation",NA,NA,NA,"90","98.6",NA,NA,8.6,1.095555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77,NA,NA,NA,NA,52,NA,NA,NA,NA
"308",308,"Green New & Emerging","17-2141.01","Fuel Cell Engineers","Transportation",NA,NA,NA,"289","310.2",NA,NA,21.2,1.073356401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,132,NA,NA,NA,NA
"309",309,"Green New & Emerging","17-2141.01","Fuel Cell Engineers","Research, Design, and Consulting Services",NA,NA,NA,"289","310.2",NA,NA,21.2,1.073356401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,132,NA,NA,NA,NA
"310",310,"Green New & Emerging","17-3029.10","Fuel Cell Technicians","Transportation",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"311",311,"Green New & Emerging","15-1199.05","Geographic Information Systems Technicians","Research, Design, and Consulting Services",NA,NA,NA,"287","309.4",NA,NA,22.4,1.07804878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,NA,136,NA,NA,NA,NA
"312",312,"Green New & Emerging","15-1199.04","Geospatial Information Scientists and Technologists","Research, Design, and Consulting Services",NA,NA,NA,"287","309.4",NA,NA,22.4,1.07804878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,NA,136,NA,NA,NA,NA
"313",313,"Green New & Emerging","11-3051.02","Geothermal Production Managers","Renewable Energy Generation",NA,NA,NA,"171","182.6",NA,NA,11.6,1.067836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,5,NA,NA,NA,NA
"314",314,"Green New & Emerging","49-9099.01","Geothermal Technicians","Renewable Energy Generation",NA,NA,NA,"176","194.7",NA,NA,18.7,1.10625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,NA,39,NA,NA,NA,NA
"315",315,"Green New & Emerging","11-2011.01","Green Marketers","Research, Design, and Consulting Services",NA,NA,NA,"31","34.4",NA,NA,3.4,1.109677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.31,NA,NA,NA,NA,13,NA,NA,NA,NA
"316",316,"Green New & Emerging","51-8099.04","Hydroelectric Plant Technicians","Renewable Energy Generation",NA,NA,NA,"12","13.2",NA,NA,1.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,NA,NA,NA,NA,86,NA,NA,NA,NA
"317",317,"Green New & Emerging","11-3051.06","Hydroelectric Production Managers","Renewable Energy Generation",NA,NA,NA,"171","182.6",NA,NA,11.6,1.067836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,5,NA,NA,NA,NA
"318",318,"Green New & Emerging","19-2041.03","Industrial Ecologists","Environment Protection",NA,NA,NA,"90","99.5",NA,NA,9.5,1.105555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,116,NA,NA,NA,NA
"319",319,"Green New & Emerging","17-3029.05","Industrial Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"320",320,"Green New & Emerging","17-3029.05","Industrial Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"321",321,"Green New & Emerging","13-2099.03","Investment Underwriters","Energy Trading",NA,NA,NA,"136","149.1",NA,NA,13.1,1.096323529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79,NA,NA,NA,NA,113,NA,NA,NA,NA
"322",322,"Green New & Emerging","13-2099.03","Investment Underwriters","Research, Design, and Consulting Services",NA,NA,NA,"136","149.1",NA,NA,13.1,1.096323529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79,NA,NA,NA,NA,113,NA,NA,NA,NA
"323",323,"Green New & Emerging","13-1081.02","Logistics Analysts","Manufacturing",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"324",324,"Green New & Emerging","13-1081.02","Logistics Analysts","Research, Design, and Consulting Services",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"325",325,"Green New & Emerging","13-1081.02","Logistics Analysts","Transportation",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"326",326,"Green New & Emerging","13-1081.01","Logistics Engineers","Manufacturing",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"327",327,"Green New & Emerging","13-1081.01","Logistics Engineers","Research, Design, and Consulting Services",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"328",328,"Green New & Emerging","13-1081.01","Logistics Engineers","Transportation",NA,NA,NA,"149","164.6",NA,NA,15.6,1.104697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.86,NA,NA,NA,NA,120,NA,NA,NA,NA
"329",329,"Green New & Emerging","11-3071.03","Logistics Managers","Manufacturing",NA,NA,NA,"116","125.7",NA,NA,9.7,1.08362069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.54,NA,NA,NA,NA,141,NA,NA,NA,NA
"330",330,"Green New & Emerging","11-3071.03","Logistics Managers","Research, Design, and Consulting Services",NA,NA,NA,"116","125.7",NA,NA,9.7,1.08362069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.54,NA,NA,NA,NA,141,NA,NA,NA,NA
"331",331,"Green New & Emerging","11-3071.03","Logistics Managers","Transportation",NA,NA,NA,"116","125.7",NA,NA,9.7,1.08362069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.54,NA,NA,NA,NA,141,NA,NA,NA,NA
"332",332,"Green New & Emerging","17-3029.06","Manufacturing Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"333",333,"Green New & Emerging","17-3029.06","Manufacturing Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"334",334,"Green New & Emerging","17-2199.04","Manufacturing Engineers","Manufacturing",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"335",335,"Green New & Emerging","17-2199.04","Manufacturing Engineers","Research, Design, and Consulting Services",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"336",336,"Green New & Emerging","17-3029.09","Manufacturing Production Technicians","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"337",337,"Green New & Emerging","17-3029.09","Manufacturing Production Technicians","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"338",338,"Green New & Emerging","17-3029.07","Mechanical Engineering Technologists","Manufacturing",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"339",339,"Green New & Emerging","17-3029.07","Mechanical Engineering Technologists","Research, Design, and Consulting Services",NA,NA,NA,"77","84.1",NA,NA,7.1,1.092207792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.38,NA,NA,NA,NA,102,NA,NA,NA,NA
"340",340,"Green New & Emerging","17-2199.05","Mechatronics Engineers","Manufacturing",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
"341",341,"Green New & Emerging","17-2199.05","Mechatronics Engineers","Research, Design, and Consulting Services",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.42,NA,NA,NA,NA,143,NA,NA,NA,NA
"342",342,"Green New & Emerging","11-3051.05","Methane/Landfill Gas Collection System Operators","Renewable Energy Generation",NA,NA,NA,"171","182.6",NA,NA,11.6,1.067836257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,5,NA,NA,NA,NA
"343",343,"Green New & Emerging","51-8099.02","Methane/Landfill Gas Generation System Technicians","Renewable Energy Generation",NA,NA,NA,"12","13.2",NA,NA,1.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,NA,NA,NA,NA,86,NA,NA,NA,NA
"344",344,"Green New & Emerging","17-2199.06","Microsystems Engineers","Manufacturing",NA,NA,NA,"133","142.5",NA,NA,9.5,1.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,NA,NA,NA,NA,143,NA,NA,NA,NA
