"","X.1","Category","Code","Occupation","Sectors","X2016.National.Employment.Matrix","OCC.Group","Occ.Type","X2016.Current","X2026.Projected","Employment.Percent","X","Change.Number","Change.Percent","Occupational.Openings.2016.26.Annual.Average","OCC.Type","OCC_CODE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"117",117,"Green Enhanced Skills","13-2052.00","Personal Financial Advisors","Research, Design, and Consulting Services","Personal financial advisors","13-2052","Line item","271.9","312.3",0.2,0.2,40.4,14.9,25.5,"Line item","13-2052","detailed","200,260",1.5,58.54,"121,770",1.1,19.99,27.54,42.73,75.82,"#","41,590","57,290",134,"157,710","#",NA,NA
"118",118,"Green Enhanced Skills","47-2152.01","Pipe Fitters and Steamfitters","Green Construction",NA,NA,NA,"524.8","607.5",0.3,0.4,82.7,15.8,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,NA,NA,NA,NA,74,NA,NA,NA,NA
"119",119,"Green Enhanced Skills","47-2152.02","Plumbers","Green Construction",NA,NA,NA,"480.6","555.8",0.3,0.3,75.2,15.6,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,NA,NA,NA,NA,74,NA,NA,NA,NA
"120",120,"Green Enhanced Skills","51-8013.00","Power Plant Operators","Energy and Carbon Capture and Storage","Power plant operators","51-8013","Line item","36.1","36.5",0,0,0.5,1.3,3.2,"Line item","51-8013","detailed","33,920",2.6,37.51,"78,030",0.6,21.92,29.97,38.27,45.83,"51.27","45,590","62,330",125,"95,330","106,650",NA,NA
"121",121,"Green Enhanced Skills","51-8013.00","Power Plant Operators","Green Construction","Power plant operators","51-8013","Line item","36.1","36.5",0,0,0.5,1.3,3.2,"Line item","51-8013","detailed","33,920",2.6,37.51,"78,030",0.6,21.92,29.97,38.27,45.83,"51.27","45,590","62,330",125,"95,330","106,650",NA,NA
"122",122,"Green Enhanced Skills","51-8013.00","Power Plant Operators","Renewable Energy Generation","Power plant operators","51-8013","Line item","36.1","36.5",0,0,0.5,1.3,3.2,"Line item","51-8013","detailed","33,920",2.6,37.51,"78,030",0.6,21.92,29.97,38.27,45.83,"51.27","45,590","62,330",125,"95,330","106,650",NA,NA
"123",123,"Green Enhanced Skills","27-3031.00","Public Relations Specialists","Environment Protection","Public relations specialists","27-3031","Line item","259.6","282.6",0.2,0.2,22.9,8.8,28.2,"Line item","27-3030","broad","239,030",1,32.9,"68,440",0.6,16.2,21.39,28.85,39.21,"54","33,690","44,490",91,"81,550","112,310",NA,NA
"124",124,"Green Enhanced Skills","27-3031.00","Public Relations Specialists","Environment Protection","Public relations specialists","27-3031","Line item","259.6","282.6",0.2,0.2,22.9,8.8,28.2,"Line item","27-3031","detailed","239,030",1,32.9,"68,440",0.6,16.2,21.39,28.85,39.21,"54","33,690","44,490",91,"81,550","112,310",NA,NA
"125",125,"Green Enhanced Skills","27-3031.00","Public Relations Specialists","Research, Design, and Consulting Services","Public relations specialists","27-3031","Line item","259.6","282.6",0.2,0.2,22.9,8.8,28.2,"Line item","27-3030","broad","239,030",1,32.9,"68,440",0.6,16.2,21.39,28.85,39.21,"54","33,690","44,490",91,"81,550","112,310",NA,NA
"126",126,"Green Enhanced Skills","27-3031.00","Public Relations Specialists","Research, Design, and Consulting Services","Public relations specialists","27-3031","Line item","259.6","282.6",0.2,0.2,22.9,8.8,28.2,"Line item","27-3031","detailed","239,030",1,32.9,"68,440",0.6,16.2,21.39,28.85,39.21,"54","33,690","44,490",91,"81,550","112,310",NA,NA
"127",127,"Green Enhanced Skills","53-7081.00","Refuse and Recyclable Material Collectors","Recycling and Waste Reduction",NA,NA,NA,"136","153.9",0.1,0.1,17.9,13.2,18.9,NA,"53-7080","broad","118,520",1.6,19.5,"40,560",1.1,10.71,13.6,17.92,23.68,"31.74","22,290","28,280",32,"49,260","66,020",NA,NA
"128",128,"Green Enhanced Skills","53-7081.00","Refuse and Recyclable Material Collectors","Recycling and Waste Reduction",NA,NA,NA,"136","153.9",0.1,0.1,17.9,13.2,18.9,NA,"53-7081","detailed","118,520",1.6,19.5,"40,560",1.1,10.71,13.6,17.92,23.68,"31.74","22,290","28,280",32,"49,260","66,020",NA,NA
"129",129,"Green Enhanced Skills","27-3022.00","Reporters and Correspondents","Environment Protection",NA,NA,NA,"44.7","40.2",0,0,-4.5,-10,3.7,NA,"27-3022","detailed","37,140",2.4,26.7,"55,530",1.5,11.3,14.3,19.84,32.06,"48.53","23,490","29,730",46,"66,680","100,930",NA,NA
"130",130,"Green Enhanced Skills","27-3022.00","Reporters and Correspondents","Research, Design, and Consulting Services",NA,NA,NA,"44.7","40.2",0,0,-4.5,-10,3.7,NA,"27-3022","detailed","37,140",2.4,26.7,"55,530",1.5,11.3,14.3,19.84,32.06,"48.53","23,490","29,730",46,"66,680","100,930",NA,NA
"131",131,"Green Enhanced Skills","47-2181.00","Roofers","Green Construction","Roofers","47-2181","Line item","146.2","162.4",0.1,0.1,16.2,11.1,16.5,"Line item","47-2180","broad","128,680",1.7,21.09,"43,870",0.9,12.28,15.34,19.22,25.07,"31.97","25,540","31,910",41,"52,140","66,510",NA,NA
"132",132,"Green Enhanced Skills","47-2181.00","Roofers","Green Construction","Roofers","47-2181","Line item","146.2","162.4",0.1,0.1,16.2,11.1,16.5,"Line item","47-2181","detailed","128,680",1.7,21.09,"43,870",0.9,12.28,15.34,19.22,25.07,"31.97","25,540","31,910",41,"52,140","66,510",NA,NA
"133",133,"Green Enhanced Skills","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Manufacturing",NA,NA,NA,"1,813.50","1,907.60",1.2,1.1,94.1,5.2,195.4,NA,"41-4011","detailed","312,980",2.2,44.15,"91,830",0.9,19.21,26.74,38.31,55.72,"75.31","39,960","55,630",126,"115,900","156,630",NA,NA
"134",134,"Green Enhanced Skills","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Research, Design, and Consulting Services",NA,NA,NA,"1,813.50","1,907.60",1.2,1.1,94.1,5.2,195.4,NA,"41-4011","detailed","312,980",2.2,44.15,"91,830",0.9,19.21,26.74,38.31,55.72,"75.31","39,960","55,630",126,"115,900","156,630",NA,NA
"135",135,"Green Enhanced Skills","51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Renewable Energy Generation",NA,NA,NA,"47.2","47.3",0,0,0.1,0.1,5,NA,"51-9012","detailed","49,770",2.6,21.22,"44,140",0.9,12.54,15.42,19.62,25.86,"32.51","26,070","32,060",44,"53,790","67,630",NA,NA
"136",136,"Green Enhanced Skills","51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Manufacturing",NA,NA,NA,"47.2","47.3",0,0,0.1,0.1,5,NA,"51-9012","detailed","49,770",2.6,21.22,"44,140",0.9,12.54,15.42,19.62,25.86,"32.51","26,070","32,060",44,"53,790","67,630",NA,NA
"137",137,"Green Enhanced Skills","47-5013.00","Service Unit Operators, Oil, Gas, and Mining","Renewable Energy Generation",NA,NA,NA,"41","47.4",NA,NA,NA,1.156097561,NA,NA,"47-5013","detailed","49,710",3.6,25.38,"52,780",1.4,15.59,18.27,23.01,29.63,"37.9","32,430","37,990",64,"61,630","78,840",NA,NA
"138",138,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Green Construction","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2210","broad","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"139",139,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Green Construction","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2211","detailed","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"140",140,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Manufacturing","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2210","broad","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"141",141,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Manufacturing","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2211","detailed","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"142",142,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Renewable Energy Generation","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2210","broad","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"143",143,"Green Enhanced Skills","47-2211.00","Sheet Metal Workers","Renewable Energy Generation","Sheet metal workers","47-2211","Line item","138.9","150.9",0.1,0.1,12,8.7,16.2,"Line item","47-2211","detailed","131,570",2.1,25.34,"52,710",1,13.36,17.02,23.3,31.23,"41.49","27,780","35,390",66,"64,970","86,290",NA,NA
"144",144,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Manufacturing",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5070","broad","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"145",145,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Manufacturing",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5071","detailed","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"146",146,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5070","broad","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"147",147,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5071","detailed","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"148",148,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Transportation",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5070","broad","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"149",149,"Green Enhanced Skills","43-5071.00","Shipping, Receiving, and Traffic Clerks","Transportation",NA,NA,NA,"681.4","681.5",0.4,0.4,0.1,0,67.2,NA,"43-5071","detailed","655,590",0.7,16.82,"34,980",0.2,11.01,13,15.88,19.51,"24.22","22,900","27,040",24,"40,580","50,380",NA,NA
"150",150,"Green Enhanced Skills","19-1013.00","Soil and Plant Scientists","Environment Protection",NA,NA,NA,"19.9","21.7",0,0,1.8,8.8,2.2,NA,"19-1013","detailed","15,010",4.7,33.96,"70,630",1.5,18.54,23.52,30.74,40.42,"55.48","38,570","48,910",104,"84,060","115,400",NA,NA
"151",151,"Green Enhanced Skills","19-1031.01","Soil and Water Conservationists","Environment Protection",NA,NA,NA,"22","24",NA,NA,NA,1.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.48,NA,NA,NA,NA,95,NA,NA,NA,NA
"152",152,"Green Enhanced Skills","19-1031.01","Soil and Water Conservationists","Governmental and Regulatory Administration",NA,NA,NA,"22","24",NA,NA,NA,1.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.48,NA,NA,NA,NA,95,NA,NA,NA,NA
"153",153,"Green Enhanced Skills","11-3071.02","Storage and Distribution Managers","Renewable Energy Generation",NA,NA,NA,"115.5","123.3",0.1,0.1,7.8,6.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.54,NA,NA,NA,NA,141,NA,NA,NA,NA
"154",154,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Energy Efficiency",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1150","broad","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"155",155,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Energy Efficiency",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1151","detailed","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"156",156,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Green Construction",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1150","broad","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"157",157,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Green Construction",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1151","detailed","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"158",158,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Research, Design, and Consulting Services",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1150","broad","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"159",159,"Green Enhanced Skills","13-1151.00","Training and Development Specialists","Research, Design, and Consulting Services",NA,NA,NA,"34.5","38.1",0,0,3.6,10.3,3.5,NA,"13-1151","detailed","291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,"49.4","32,950","44,480",94,"80,870","102,740",NA,NA
"160",160,"Green Enhanced Skills","11-3071.01","Transportation Managers","Transportation",NA,NA,NA,"115.5","123.3",0.1,0.1,7.8,6.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.54,NA,NA,NA,NA,141,NA,NA,NA,NA
"161",161,"Green Enhanced Skills","53-6051.07","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Energy Efficiency",NA,NA,NA,"28.2","29.8",0,0,1.7,5.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.47,NA,NA,NA,NA,119,NA,NA,NA,NA
"162",162,"Green Enhanced Skills","53-6051.07","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Governmental and Regulatory Administration",NA,NA,NA,"28.2","29.8",0,0,1.7,5.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.47,NA,NA,NA,NA,119,NA,NA,NA,NA
"163",163,"Green Enhanced Skills","53-6051.07","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Transportation",NA,NA,NA,"28.2","29.8",0,0,1.7,5.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.47,NA,NA,NA,NA,119,NA,NA,NA,NA
