Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2026,985.9,Green Increased Demand,51-2092.00,Team Assemblers,Manufacturing,
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Manufacturing,
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Manufacturing,
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks","Research, Design, and Consulting Services",
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Transportation,
2026,681.5,Green Enhanced Skills,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Transportation,
2026,220.4,Green Increased Demand,51-2022.00,Electrical and Electronic Equipment Assemblers,Manufacturing,
2026,"2,920.80",Green Increased Demand,43-4051.00,Customer Service Representatives,"Research, Design, and Consulting Services",
2026,"2,920.80",Green Increased Demand,43-4051.00,Customer Service Representatives,"Research, Design, and Consulting Services",
2026,175.9,Green Increased Demand,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,
2026,585.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Green Construction,
2026,585.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Green Construction,
2026,585.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Transportation,
2026,585.9,Green Increased Demand,53-7051.00,Industrial Truck and Tractor Operators,Transportation,
2026,"1,367.10",Green Enhanced Skills,47-2061.00,Construction Laborers,Green Construction,
2026,"1,367.10",Green Enhanced Skills,47-2061.00,Construction Laborers,Green Construction,
2026,34.5,Green Increased Demand,19-4093.00,Forest and Conservation Technicians,Environment Protection,
2026,176.2,Green Increased Demand,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",Manufacturing,
2026,153.9,Green Enhanced Skills,53-7081.00,Refuse and Recyclable Material Collectors,Recycling and Waste Reduction,
2026,153.9,Green Enhanced Skills,53-7081.00,Refuse and Recyclable Material Collectors,Recycling and Waste Reduction,
2026,9.9,Green Increased Demand,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,
2026,465.2,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",GOVT and Regulatory,
2026,465.2,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",GOVT and Regulatory,
2026,465.2,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,
2026,465.2,Green Enhanced Skills,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Efficiency,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Efficiency,
